datum,Total sales,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Day,Weekday Number
2016-06-05,359.829,41.67,22.859,22.25,154.05,50.0,3.0,35.0,31.0,2016,6,5,7
2016-06-12,471.155,55.99,26.003,25.0,228.962,58.0,3.0,36.0,38.2,2016,6,12,7
2016-06-19,413.891,28.67,30.571,28.25,185.4,60.0,2.0,42.0,37.0,2016,6,19,7
2016-06-26,374.21000000000004,34.35,25.572,32.65,163.038,71.0,0.0,22.0,25.6,2016,6,26,7
2016-07-03,388.876,33.66,27.616,34.1,147.0,61.5,12.0,45.0,28.0,2016,7,3,7
2016-07-10,370.152,41.34,41.462,27.05,152.0,64.0,5.0,15.0,24.3,2016,7,10,7
2016-07-17,353.17333333,41.89833333,32.483,25.0,150.262,50.0,0.0,21.0,32.53,2016,7,17,7
2016-07-24,325.49699999999996,39.65,25.947,38.3,147.6,42.0,0.0,10.0,22.0,2016,7,24,7
2016-07-31,377.28,56.31,29.82,30.65,134.5,70.0,3.0,30.0,23.0,2016,7,31,7
2016-08-07,469.096,53.99,25.306,32.4,162.6,111.5,1.0,62.0,20.3,2016,8,7,7
2016-08-14,414.9106667,53.34,34.554,35.1,170.9166667,84.0,5.0,13.0,19.0,2016,8,14,7
2016-08-21,345.53999999999996,43.98,23.31,27.0,162.75,45.0,4.0,17.0,22.5,2016,8,21,7
2016-08-28,300.7646667,40.16,23.388,29.2,143.8166667,24.0,2.0,21.0,17.2,2016,8,28,7
2016-09-04,359.17800000000005,47.66,23.918,25.5,172.8,53.0,0.0,16.0,20.3,2016,9,4,7
2016-09-11,477.2,32.63,33.196,30.35,255.024,72.0,8.0,26.0,20.0,2016,9,11,7
2016-09-18,460.332,37.66,34.522,20.9,225.15,93.0,0.0,37.0,12.1,2016,9,18,7
2016-09-25,463.322,33.67,27.927,25.5,264.225,67.0,5.0,29.0,11.0,2016,9,25,7
2016-10-02,612.3960000000001,65.33,26.178,34.35,382.338,44.0,5.0,38.0,17.2,2016,10,2,7
2016-10-09,613.494,36.35,31.957,35.5,418.187,30.0,2.0,46.0,13.5,2016,10,9,7
2016-10-16,666.6003333,41.65,29.267,38.2,347.35,134.8333333,3.0,59.0,13.3,2016,10,16,7
2016-10-23,506.3276667,38.96,34.651,32.8,293.8166667,41.0,3.0,47.0,15.1,2016,10,23,7
2016-10-30,568.215,42.81,30.655,39.75,346.0,68.0,3.0,29.0,9.0,2016,10,30,7
2016-11-06,462.19566667,34.98666667,21.959,26.5,256.55,54.0,3.0,42.0,23.2,2016,11,6,7
2016-11-13,496.16666667,46.33,33.97,37.3,260.8,67.16666667,4.0,36.0,10.6,2016,11,13,7
2016-11-20,436.941,37.66,22.319,32.75,252.812,50.0,9.0,22.0,10.4,2016,11,20,7
2016-11-27,457.493,37.02,32.399,30.95,243.124,45.0,9.0,48.0,12.0,2016,11,27,7
2016-12-04,494.75699999999995,34.18,25.265,19.95,302.162,52.0,2.0,55.0,4.2,2016,12,4,7
2016-12-11,501.916,41.85,23.892,37.75,275.424,37.0,4.0,71.0,11.0,2016,12,11,7
2016-12-18,583.13733333,35.14,27.539,25.4,303.525,88.33333333,6.0,88.0,9.2,2016,12,18,7
2016-12-25,458.43399999999997,26.0,29.634,19.1,315.2,28.0,3.0,31.0,6.5,2016,12,25,7
2017-01-01,790.83716667,49.20375,42.70525,31.52916667,546.899,53.75,6.875,55.25,4.625,2017,1,1,7
2017-01-08,570.0762500029999,33.6875,30.3825,33.54166667,343.35,62.91666667,3.958333333,47.65625,14.58333333,2017,1,8,7
2017-01-15,680.875416707,48.74583333,34.27541667,60.125,368.4791667,120.0,5.416666667,31.66666667,12.16666667,2017,1,15,7
2017-01-22,618.6645832730001,39.45416667,30.46041667,41.5,320.5833333,115.8333333,9.583333333,45.41666667,15.83333333,2017,1,22,7
2017-01-29,611.5216666230001,43.97083333,42.04583333,44.70833333,298.505,105.8333333,8.333333333,55.41666667,12.70833333,2017,1,29,7
2017-02-05,550.443749957,54.1575,42.41791667,40.70833333,265.8933333,79.33333333,9.166666667,44.33333333,14.43333333,2017,2,5,7
2017-02-12,334.16249999999997,47.3225,29.09,33.55,146.2,39.0,3.0,27.0,9.0,2017,2,12,7
2017-02-19,236.07800000000003,27.33,22.648,11.75,128.05,18.0,0.0,18.0,10.3,2017,2,19,7
2017-02-26,363.99899999999997,32.67,32.354,32.2,170.7,49.875,2.0,36.0,8.2,2017,2,26,7
2017-03-05,371.63,46.35,31.48,34.6,134.7,53.0,4.0,48.0,19.5,2017,3,5,7
2017-03-12,337.546,37.51,27.736,26.2,171.1,31.0,7.0,20.0,17.0,2017,3,12,7
2017-03-19,288.944,33.99,18.654,19.2,146.1,35.0,0.0,25.0,11.0,2017,3,19,7
2017-03-26,306.499,36.83,29.719,18.85,122.0,36.0,0.0,31.0,32.1,2017,3,26,7
2017-04-02,310.86899999999997,28.18,18.389,29.0,138.4,39.0,0.0,20.0,37.9,2017,4,2,7
2017-04-09,302.683,32.66,21.023,23.4,119.1,34.0,3.0,47.0,22.5,2017,4,9,7
2017-04-16,313.814,48.66,15.904,18.4,126.65,21.0,2.0,58.0,23.2,2017,4,16,7
2017-04-23,290.687,32.3,26.812,27.0,130.7,38.0,2.0,17.875,16.0,2017,4,23,7
2017-04-30,324.993,32.99,31.253,25.7,106.75,33.0,2.0,48.0,45.3,2017,4,30,7
2017-05-07,263.736,25.34,27.396,19.05,92.85,30.0,0.0,44.0,25.1,2017,5,7,7
2017-05-14,319.42199999999997,38.98,23.892,31.95,109.9,36.0,14.0,24.0,40.7,2017,5,14,7
2017-05-21,325.879,31.67,31.409,11.2,150.6,32.0,3.0,27.0,39.0,2017,5,21,7
2017-05-28,313.15999999999997,32.33,25.58,23.85,129.39,37.0,0.0,23.0,42.01,2017,5,28,7
2017-06-04,330.55100000000004,31.01,20.991,24.15,137.4,38.0,9.0,44.0,26.0,2017,6,4,7
2017-06-11,323.986,30.49,30.596,27.25,122.95,37.0,0.0,37.0,38.7,2017,6,11,7
2017-06-18,289.829,21.66,30.099,14.25,96.45,40.0,3.0,40.0,44.37,2017,6,18,7
2017-06-25,284.07,28.16,14.98,22.1,128.0,31.0,2.0,23.0,34.83,2017,6,25,7
2017-07-02,291.128,34.68,22.198,27.75,95.5,41.0,0.0,39.0,31.0,2017,7,2,7
